년월,한국영화개봉편수,한국영화상영편수,한국영화매출액,한국영화관객수,한국영화점유율,외국영화개봉편수,외국영화상영편수,외국영화매출액,외국영화관객수,외국영화점유율,전체영화개봉편수,전체영화상영편수,전체영화매출액,전체영화관객수
2019-01,46,130,"99,614,450,357","11,950,823",65.9%,101,239,"51,547,027,839","6,171,620",34.1%,147,369,"151,161,478,196","18,122,443"
2019-02,33,108,"146,336,183,090","17,228,752",77.3%,81,209,"43,654,624,880","5,048,981",22.7%,114,317,"189,990,807,970","22,277,733"
2019-03,46,134,"53,449,954,665","6,267,605",42.7%,96,239,"73,109,062,784","8,404,088",57.3%,142,373,"126,559,017,449","14,671,693"
2019-04,51,144,"23,535,909,622","2,871,972",21.5%,104,292,"89,648,754,770","10,466,990",78.5%,155,436,"113,184,664,392","13,338,962"
2019-05,59,164,"72,430,147,833","8,614,235",47.7%,93,293,"82,132,857,124","9,448,222",52.3%,152,457,"154,563,004,957","18,062,457"
2019-06,44,140,"84,708,194,720","9,943,592",43.5%,109,315,"110,529,603,988","12,901,987",56.5%,153,455,"195,237,798,708","22,845,579"
2019-07,54,139,"25,376,188,033","3,340,740",15.2%,104,284,"158,725,114,684","18,575,725",84.8%,158,423,"184,101,302,717","21,916,465"
2019-08,70,170,"151,959,834,460","17,981,401",72.5%,111,265,"56,998,338,584","6,804,720",27.5%,181,435,"208,958,173,044","24,786,121"
2019-09,61,179,"101,553,036,040","11,964,689",81.2%,105,245,"22,892,226,668","2,768,953",18.8%,166,424,"124,445,262,708","14,733,642"
2019-10,76,212,"56,279,424,550","6,800,894",45.8%,139,288,"67,475,291,150","8,057,489",54.2%,215,500,"123,754,715,700","14,858,383"
2019-11,71,257,"57,704,769,420","6,874,030",37.0%,103,331,"97,683,263,995","11,726,649",63.0%,174,588,"155,388,033,415","18,600,679"
2019-12,86,231,"97,845,315,661","11,783,129",52.5%,100,327,"88,799,505,151","10,681,491",47.5%,186,558,"186,644,820,812","22,464,620"
합계,697,"2,008","970,793,408,451","115,621,862",51.0%,"1,246","3,327","943,195,671,617","111,056,915",49.0%,"1,943","5,335","1,913,989,080,068","226,678,777"
